Entity,Code,Year,Share of one person households
United States,USA,1989,24.46192
United States,USA,1990,24.638178
United States,USA,1991,25.012724
United States,USA,1992,25.059319
United States,USA,1993,24.43117
United States,USA,1994,24.314417
United States,USA,1995,24.984343
United States,USA,1996,24.993225
United States,USA,1997,25.146013
United States,USA,1998,25.677864
United States,USA,1999,25.613724
United States,USA,2000,25.523136
United States,USA,2001,26.067148
United States,USA,2002,26.327347
United States,USA,2003,26.448175
United States,USA,2004,26.41607
United States,USA,2005,26.589203
United States,USA,2006,26.623478
United States,USA,2007,26.835386
United States,USA,2008,27.544249
United States,USA,2009,27.015472
United States,USA,2010,26.713913
United States,USA,2011,27.533417
United States,USA,2012,27.409071
United States,USA,2013,27.413258
United States,USA,2014,27.741035
United States,USA,2015,27.985264
United States,USA,2016,28.126118
United States,USA,2017,27.928127
United States,USA,2018,28.012478
Uruguay,URY,1963,11.216985
Uruguay,URY,1975,14.392349
Uruguay,URY,1985,14.976942
Uruguay,URY,1996,16.938614
Uruguay,URY,2006,19.778904
Uruguay,URY,2011,23.523561
Uzbekistan,UZB,1996,5.2627916
Venezuela,VEN,1971,8.232542
Venezuela,VEN,1981,6.8138194
Venezuela,VEN,1990,6.816227
Venezuela,VEN,2001,7.56201
Vietnam,VNM,1989,4.9867
Vietnam,VNM,1999,4.3564725
Vietnam,VNM,2009,7.2818236
West Germany,OWID_GFR,1950,19.39
West Germany,OWID_GFR,1956,19.17
West Germany,OWID_GFR,1957,18.3
West Germany,OWID_GFR,1961,20.61
West Germany,OWID_GFR,1962,22.35
West Germany,OWID_GFR,1963,22.65
West Germany,OWID_GFR,1964,23.25
West Germany,OWID_GFR,1965,24.25
West Germany,OWID_GFR,1966,23.89
West Germany,OWID_GFR,1967,24.97
West Germany,OWID_GFR,1968,25.15
West Germany,OWID_GFR,1969,25.82
West Germany,OWID_GFR,1970,25.13
West Germany,OWID_GFR,1971,26.72
West Germany,OWID_GFR,1972,26.15
West Germany,OWID_GFR,1973,26.13
West Germany,OWID_GFR,1974,27.19
West Germany,OWID_GFR,1975,27.63
West Germany,OWID_GFR,1976,28.68
West Germany,OWID_GFR,1977,29.22
West Germany,OWID_GFR,1978,29.28
West Germany,OWID_GFR,1979,30.03
West Germany,OWID_GFR,1980,30.2
West Germany,OWID_GFR,1981,30.8
West Germany,OWID_GFR,1982,31.28
West Germany,OWID_GFR,1985,33.61
West Germany,OWID_GFR,1986,34.32
West Germany,OWID_GFR,1987,34.64
West Germany,OWID_GFR,1988,34.9
West Germany,OWID_GFR,1989,35.28
West Germany,OWID_GFR,1990,34.96
Yemen,YEM,1991,3.1623433
Yemen,YEM,2013,1.8666189
Zambia,ZMB,1992,6.5917206
Zambia,ZMB,1996,6.058427
Zambia,ZMB,2002,6.3452206
Zambia,ZMB,2007,7.7294793
Zambia,ZMB,2013,7.171991
Zimbabwe,ZWE,1994,13.498573
Zimbabwe,ZWE,1999,15.561739
Zimbabwe,ZWE,2005,10.155535
Zimbabwe,ZWE,2010,11.660686
Zimbabwe,ZWE,2015,12.373476
