country,field,disclosed_investment,estimated_investment
Cyprus,"Sales, retail, commerce, marketing",27,30
Cyprus,Hardware,26,30
Czechia,All,375,540
Czechia,Information Technology,113,187
Czechia,Software,156,281
Czechia,Media and Entertainment,41,42
Czechia,"Sales, retail, commerce, marketing",70,84
Czechia,Professional services,28,86
Czechia,Data and analytics,97,229
Czechia,General purpose,115,191
Germany,Data and analytics,3382,10854
Germany,General purpose,2805,9106
Germany,"Sales, retail, commerce, marketing",289,1847
Germany,Robotics,435,813
Germany,Software,3599,11371
Germany,Media and Entertainment,60,746
Germany,Professional services,632,1863
Germany,Healthcare and Life Sciences,276,635
Germany,Consumer goods,465,1643
Germany,"Mobile, platforms & Internet services",458,2716
Germany,Hardware,828,3115
Germany,Finance,622,1249
Germany,Real estate,87,613
Germany,Community and Lifestyle,235,411
Germany,Information Technology,1606,4984
Germany,All,10410,19626
Germany,Other,331,1435
Germany,Transportation,1096,2549
Germany,Lending and Investments,420,464
Germany,Education,137,254
Germany,NLP,95,240
Germany,Agriculture,309,460
Germany,Biotechnology,96,246
Germany,Privacy and Security,168,335
Germany,Manufacturing,581,1566
Germany,Computer Vision,78,670
Germany,Semiconductor,250,265
Germany,"Military, public safety and government",295,333
Germany,Energy and natural resources,145,648
Denmark,Media and Entertainment,35,47
Denmark,Energy and natural resources,24,116
Denmark,Robotics,77,87
Denmark,"Sales, retail, commerce, marketing",80,173
Denmark,General purpose,468,1415
Denmark,Professional services,63,340
Denmark,Software,492,1631
Denmark,Other,72,453
Denmark,All,996,2461
Denmark,"Mobile, platforms & Internet services",180,290
Denmark,Data and analytics,336,1473
Denmark,Hardware,257,366
Denmark,Manufacturing,227,318
Denmark,Information Technology,95,544
Egypt,All,59,71
Spain,Consumer goods,64,92
Spain,Information Technology,165,1150
Spain,Healthcare and Life Sciences,232,428
Spain,Other,33,200
Spain,Education,16,71
Spain,Computer Vision,24,176
Spain,Professional services,55,2569
Spain,Real estate,35,189
Spain,Community and Lifestyle,34,94
Spain,Lending and Investments,47,107
Spain,Privacy and Security,40,560
Spain,Finance,327,827
Spain,Software,825,4278
Spain,NLP,69,1889
Spain,Energy and natural resources,47,127
Spain,Biotechnology,106,116
Spain,Hardware,189,472
Spain,Data and analytics,772,4454
Spain,General purpose,730,2356
Spain,Media and Entertainment,72,305
Spain,All,1981,5968
Spain,Manufacturing,80,228
Spain,"Mobile, platforms & Internet services",250,2474
Spain,"Sales, retail, commerce, marketing",404,556
Estonia,Information Technology,81,123
Estonia,Privacy and Security,64,75
Estonia,Cyber Security,64,65
Estonia,Software,104,185
Estonia,Finance,89,102
Estonia,Data and analytics,101,193
Estonia,General purpose,101,185
Estonia,All,320,429
Finland,Finance,90,2753
Finland,Software,1970,10419
Finland,Information Technology,837,3658
Finland,Data and analytics,1862,8966
Finland,Hardware,969,1824
Finland,Real estate,157,200
Finland,Biotechnology,30,30
Finland,"Sales, retail, commerce, marketing",909,1660
Finland,"Mobile, platforms & Internet services",193,2237
Finland,All,2535,11712
Finland,Healthcare and Life Sciences,75,83
Finland,Lending and Investments,87,1419
Finland,General purpose,1079,8118
Finland,Transportation,868,918
France,"Mobile, platforms & Internet services",1419,4930
France,Media and Entertainment,97,1272
France,Navigation and mapping,31,31
France,General purpose,3512,14829
France,Biotechnology,111,256
France,Professional services,1412,3316
France,Healthcare and Life Sciences,544,1034
France,Finance,357,1269
France,Privacy and Security,188,307
France,"Sales, retail, commerce, marketing",597,3504
France,All,10941,26848
France,Software,4217,18645
France,Manufacturing,83,417
France,Data and analytics,3484,17229
France,Other,1102,3768
France,Computer Vision,340,925
France,Energy and natural resources,49,432
France,Transportation,284,1161
France,Robotics,110,882
France,Consumer goods,131,1066
France,Telecommunications,92,386
France,Information Technology,2269,7676
France,Real estate,119,318
France,NLP,110,1231
France,Education,199,1254
France,Hardware,1552,4503
United Kingdom,Biotechnology,387,814
United Kingdom,Software,10792,23841
United Kingdom,Telecommunications,80,549
United Kingdom,Real estate,316,554
United Kingdom,Finance,2140,4081
United Kingdom,Education,157,853
United Kingdom,Gaming,151,259
United Kingdom,Media and Entertainment,949,2259
United Kingdom,Energy and natural resources,253,981
United Kingdom,Hardware,1732,4239
United Kingdom,Robotics,160,532
United Kingdom,Data and analytics,9593,22028
United Kingdom,Consumer goods,619,1746
United Kingdom,General purpose,8760,18677
United Kingdom,NLP,201,1034
United Kingdom,Privacy and Security,545,1458
United Kingdom,Manufacturing,202,730
United Kingdom,Sports,58,273
United Kingdom,Information Technology,4867,10600
United Kingdom,"Mobile, platforms & Internet services",3175,6698
United Kingdom,Professional services,1477,4365
United Kingdom,Transportation,1068,1769
United Kingdom,"Sales, retail, commerce, marketing",2130,4858
United Kingdom,Speech Recognition,40,46
United Kingdom,All,24181,39505
United Kingdom,Navigation and mapping,61,209
United Kingdom,Computer Vision,675,1205
United Kingdom,Semiconductor,254,345
United Kingdom,Lending and Investments,645,1181
United Kingdom,Other,1203,2837
United Kingdom,Community and Lifestyle,618,946
United Kingdom,Cyber Security,102,575
United Kingdom,Agriculture,66,395
United Kingdom,"Military, public safety and government",78,143
United Kingdom,Healthcare and Life Sciences,1116,2144
